polica_sifra,polica_naziv,tip
K-B1,ZAVARIVANJE,SHELF
K-B2,ZAVARIVANJE,SHELF
K-B3,ZAVARIVANJE,SHELF
K-B4,ZAVARIVANJE,SHELF
K-B5,ZAVARIVANJE,SHELF
K-B6,ZAVARIVANJE,SHELF
K-C1,ZAVRŠNA,SHELF
K-C2,ZAVRŠNA,SHELF
K-C3,ZAVRŠNA,SHELF
K-C4,ZAVRŠNA,SHELF
K-C5,ZAVRŠNA,SHELF
K-C6,ZAVRŠNA,SHELF
K-D,DORADA,SHELF
K-M,MONTAZA,SHELF
K-MG,MAGACIN,SHELF
K-MG3,MAGACIN_H3,SHELF
K-MG4,MAGACIN_H4,SHELF
K-MG8,MAGACIN_H8,SHELF
K-S,ŠKART,SHELF
KAVEZ 1,Kavez 1,SHELF
